accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,log_loss,brier_score,Model,BalancedMethod,overall_score,metrics_used,Rank
0.830864088,0.847817699,0.96988956,0.725395465,0.830012037,0.970239934,0.668544983,0.847817699,,6.096276188,0.169135912,decision_tree,adasyn,0.751189184,10,61
0.797551455,0.818644881,0.968074267,0.666328996,0.789347365,0.970960766,0.60688263,0.968868094,,0.429192809,0.13462977,extra_trees,smote_enn,0.748503205,10,62
0.841909155,0.850993229,0.925613004,0.785397023,0.849759717,0.916589435,0.685299115,,,,,sgd,tomek,0.74813625,7,63
0.837695174,0.847329412,0.925194661,0.777760461,0.845095466,0.916898363,0.677309162,,,,,sgd,random_under,0.737629058,7,64
0.837739532,0.847355848,0.925122788,0.77791631,0.845157467,0.916795387,0.677385533,,,,,sgd,smote_tomek,0.737601324,7,65
0.835566004,0.84547176,0.924939467,0.77394218,0.842730474,0.917001339,0.67327551,,,,,sgd,nearmiss,0.732235535,7,66
0.830731015,0.841237422,0.924249553,0.765370529,0.837340153,0.917104315,0.664123614,0.911825472,,0.856503586,0.147156903,logistic_regression,smote_enn,0.724787764,10,67
0.829488999,0.840246692,0.924690541,0.762565261,0.835838743,0.917928123,0.661840474,0.912782027,,0.828030763,0.147943631,logistic_regression,enn,0.723397714,10,68
0.829622072,0.840300948,0.924311061,0.763188654,0.836057877,0.917413243,0.662050864,0.912792482,,0.826576674,0.148027843,logistic_regression,smote_tomek,0.723077935,10,69
0.829400284,0.840093612,0.924195223,0.762876958,0.835823444,0.917310267,0.66162331,0.914185976,,0.808809534,0.148379647,logistic_regression,random_under,0.723032108,10,70
0.82908978,0.839820878,0.924145097,0.762331489,0.835475469,0.917310267,0.661036349,0.914855766,,0.81646063,0.148311777,logistic_regression,smote,0.722589423,10,71
0.828912349,0.83966503,0.924116424,0.762019793,0.835276532,0.917310267,0.660700988,0.913560401,,0.821046386,0.148148882,logistic_regression,random_over,0.721682864,10,72
0.831307665,0.841731403,0.924262357,0.766461467,0.83799787,0.917001339,0.665206634,,,,,sgd,enn,0.721137066,7,73
0.829622072,0.840300948,0.924311061,0.763188654,0.836057877,0.917413243,0.662050864,0.905585606,,0.88525785,0.150358295,logistic_regression,nearmiss,0.719831358,10,74
0.818754436,0.83133144,0.926308607,0.740512741,0.823055604,0.922150139,0.641964779,0.952906997,,0.519935412,0.166651514,adaboost,random_over,0.719604614,10,75
0.82908978,0.840008767,0.925350512,0.761162628,0.835264441,0.918854907,0.661160192,,,,,sgd,class_weight,0.71795102,7,76
0.827226757,0.838234576,0.924164768,0.75874698,0.833326201,0.917722171,0.657550047,0.91219967,,0.82369729,0.150320488,logistic_regression,class_weight,0.717668383,10,77
0.836497516,0.847680343,0.934041947,0.766929011,0.842276423,0.928431675,0.675921465,0.860804552,,5.225509828,0.155514549,knn,adasyn,0.717346578,10,78
0.826472676,0.837559695,0.923961601,0.757500195,0.832491222,0.917619195,0.656118205,0.912233075,,0.828152247,0.150941529,logistic_regression,tomek,0.715803979,10,79
0.817201916,0.829817457,0.925058548,0.738720486,0.821454876,0.920914427,0.638946102,0.952350367,,0.522350724,0.167874904,adaboost,nearmiss,0.714265658,10,80
0.829311568,0.841393543,0.933179057,0.754149458,0.834166523,0.928637627,0.662360617,0.85743404,,5.359351602,0.161980128,knn,borderline_smote,0.69941354,10,81
0.827803407,0.840118937,0.933294607,0.751188343,0.832397893,0.929049531,0.659551065,0.857425318,,5.365389536,0.162702271,knn,svm_smote,0.696499543,10,82
0.809306246,0.822807056,0.923229518,0.725317541,0.812393629,0.920296571,0.624108038,0.953042415,,0.521785255,0.16734841,adaboost,random_under,0.696064138,10,83
0.808773953,0.822339511,0.923138034,0.724382451,0.811771384,0.920296571,0.623113557,0.953047992,,0.521856079,0.167416607,adaboost,smote,0.694857819,10,84
0.806777857,0.820611271,0.92296178,0.720720019,0.809398792,0.920502523,0.619405244,0.952099454,,0.525096589,0.168972679,adaboost,class_weight,0.690070235,10,85
0.804382541,0.818807943,0.924589172,0.714641939,0.806170886,0.922973947,0.615162085,0.953060799,,0.518318071,0.166076385,adaboost,smote_enn,0.688409755,10,86
