accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,Model,BalancedMethod,overall_score,metrics_used,Rank
0.757274663,0.556894965,0.809881489,0.757274663,0.706887543,,0.613412438,0.963561357,0.930839741,random_forest,class_weight,0.850120728,8,58
0.788679915,0.690470208,0.775084542,0.788679915,0.762473098,,0.678075416,0.828636673,0.71279872,knn,smote,0.849415768,8,59
0.78876863,0.690862575,0.77597112,0.78876863,0.763242173,,0.678469038,0.828840403,0.710149601,knn,smote_enn,0.849344982,8,60
0.788635557,0.690442302,0.775055748,0.788635557,0.762432831,,0.678012422,0.82860343,0.712548495,knn,smote_tomek,0.849315698,8,61
0.751818666,0.566491893,0.805401514,0.751818666,0.701423906,,0.604382186,0.96166712,0.926129114,random_forest,tomek,0.846853386,8,62
0.783268275,0.680209461,0.813392362,0.783268275,0.753722399,,0.666031358,0.825242841,0.70996259,knn,svm_smote,0.843616505,8,63
0.7908978,0.674028678,0.82545647,0.7908978,0.762205672,,0.678481987,0.803741982,0.679623235,decision_tree,enn,0.839554353,8,64
0.78144961,0.544208514,0.743725277,0.78144961,0.726125828,,0.661934718,0.930248256,0.860263623,adaboost,tomek,0.83905876,8,65
0.745697303,0.545610678,0.788020565,0.745697303,0.694562102,,0.594016329,0.953957977,0.926988463,random_forest,random_over,0.833827956,8,66
0.780828602,0.531064496,0.730001168,0.780828602,0.723962207,,0.657262066,0.927188971,0.859536146,adaboost,class_weight,0.832319547,8,67
0.779852732,0.667714128,0.759471568,0.779852732,0.749921753,,0.663444823,0.817643507,0.695148088,knn,random_over,0.828757824,8,68
0.689584812,0.644719758,0.770783646,0.689584812,0.688864998,,0.546294269,0.946438477,0.875419084,logistic_regression,random_under,0.823374208,8,69
0.729107523,0.645234183,0.78729625,0.729107523,0.729497136,,0.598728465,0.854382016,0.771796317,knn,random_under,0.818711513,8,70
0.78646203,0.606414162,0.799067701,0.78646203,0.749975961,,0.671371351,0.769337879,0.674807178,decision_tree,borderline_smote,0.80756952,8,71
0.769561746,0.593908039,0.795090394,0.769561746,0.730627581,,0.641163782,0.819315795,0.701301883,knn,class_weight,0.802660872,8,72
0.7056423,0.670029692,0.778070971,0.7056423,0.717791341,,0.586392158,0.843896297,0.714021549,naive_bayes,random_under,0.799294262,8,73
0.769561746,0.596865208,0.795101659,0.769561746,0.730645977,,0.641179602,0.807612833,0.680268818,knn,tomek,0.797307262,8,74
0.768985096,0.595762936,0.793782578,0.768985096,0.730354856,,0.640210187,0.798959527,0.666190678,knn,enn,0.792286111,8,75
0.699387864,0.635090986,0.741673379,0.699387864,0.68487829,,0.544004571,0.896431355,0.764450817,adaboost,smote_enn,0.7886747,8,76
0.773642654,0.58508264,0.791312373,0.773642654,0.741426936,,0.652744013,0.757210544,0.657308554,decision_tree,smote_enn,0.787330149,8,77
0.731547197,0.683487032,0.743225929,0.731547197,0.727499834,,0.606049314,0.803058541,0.619972182,decision_tree,random_under,0.786285319,8,78
0.680846345,0.651872648,0.736075831,0.680846345,0.661393753,,0.516124533,0.917088452,0.789188746,adaboost,adasyn,0.78575209,8,79
0.739088006,0.476335111,0.738782157,0.739088006,0.684315841,,0.584719345,0.91863605,0.837715541,adaboost,enn,0.780675867,8,80
0.76716643,0.58011571,0.801060365,0.76716643,0.734631869,,0.64194455,0.753449342,0.649611216,decision_tree,smote_tomek,0.779648698,8,81
0.766811568,0.579147622,0.805656264,0.766811568,0.733788797,,0.640128423,0.752477227,0.649022146,decision_tree,smote,0.778983532,8,82
0.756210078,0.600703838,0.766727839,0.756210078,0.727253148,,0.627369785,0.762955258,0.639387331,decision_tree,adasyn,0.774260483,8,83
0.764105749,0.570729218,0.80398274,0.764105749,0.724787354,,0.631154107,0.746731938,0.644510619,decision_tree,tomek,0.770439634,8,84
