accuracy,balanced_accuracy,precision,recall,f1,specificity,kappa,roc_auc,pr_auc,Model,BalancedMethod,FeatureSelection,NumFeatures,overall_score,metrics_used,Rank
0.811657204,0.704111986,0.830769894,0.811657204,0.796071089,,0.721691404,0.94722713,0.896836888,logistic_regression,svm_smote,random_forest,20,0.934650377,8,65
0.811834634,0.709089473,0.833296689,0.811834634,0.8016929,,0.721634442,0.940434781,0.886663456,logistic_regression,adasyn,mutual_information,20,0.934569452,8,66
0.804737402,0.728886703,0.834552615,0.804737402,0.797565117,,0.707114429,,,sgd,random_over,variance,122,0.9345252,6,67
0.807310149,0.730735031,0.816354661,0.807310149,0.801157738,,0.714281354,0.940573396,0.881697289,logistic_regression,smote,random_forest,20,0.934459847,8,68
0.801854152,0.734237588,0.849062798,0.801854152,0.799582132,,0.710669776,0.938404578,0.875208173,logistic_regression,smote_tomek,logistic_l1,20,0.934238044,8,69
0.801454933,0.733922168,0.848399111,0.801454933,0.798910574,,0.709951858,0.938006376,0.875580955,logistic_regression,smote,logistic_l1,20,0.933774067,8,70
0.814984031,0.68756672,0.836899835,0.814984031,0.79738184,,0.722811831,0.951010062,0.897369431,gradient_boosting,adasyn,random_forest,20,0.933532702,8,71
0.825275018,0.64418185,0.825553148,0.825275018,0.814972651,,0.739288104,0.951012078,0.901704734,gradient_boosting,svm_smote,anova,20,0.933377162,8,72
0.823944287,0.66071044,0.830525442,0.823944287,0.805619719,,0.735197551,0.952848208,0.896454486,gradient_boosting,adasyn,mutual_information,20,0.933197471,8,73
0.820085167,0.651257783,0.843965723,0.820085167,0.800569975,,0.730439748,0.957248684,0.903257056,gradient_boosting,borderline_smote,extra_trees,20,0.931355223,8,74
0.807665011,0.705547531,0.817167568,0.807665011,0.805733467,,0.713932914,0.939883413,0.886301644,logistic_regression,smote_enn,anova,20,0.931227741,8,75
0.804959191,0.718891858,0.818319873,0.804959191,0.799195708,,0.710997969,0.941058311,0.884427889,logistic_regression,random_over,random_forest,20,0.931155266,8,76
0.809705465,0.666450099,0.825018334,0.809705465,0.81126464,,0.716458321,0.949073312,0.901884234,random_forest,random_under,extra_trees,20,0.93009309,8,77
0.806777857,0.703966103,0.815974681,0.806777857,0.804681196,,0.712406826,0.940075589,0.884829396,logistic_regression,smote,anova,20,0.929785743,8,78
0.805535841,0.744801891,0.843697371,0.805535841,0.804557873,,0.712776044,0.910198701,0.847635501,adaboost,smote_tomek,random_forest,20,0.929613692,8,79
0.806422995,0.703211159,0.815540357,0.806422995,0.804296659,,0.711820171,0.939987741,0.885672458,logistic_regression,smote_tomek,anova,20,0.929484821,8,80
0.80420511,0.709069339,0.815820564,0.80420511,0.802638426,,0.708665232,0.940064644,0.882836019,logistic_regression,random_over,anova,20,0.928776487,8,81
0.810503903,0.701672459,0.824677832,0.810503903,0.797082057,,0.714269183,0.946488633,0.876184677,logistic_regression,random_over,variance,122,0.928181538,8,82
0.815871185,0.653334376,0.84332366,0.815871185,0.792381178,,0.721428253,0.955291999,0.905426262,gradient_boosting,borderline_smote,random_forest,20,0.927627169,8,83
0.818754436,0.653855771,0.830176158,0.818754436,0.796942168,,0.726840917,0.957726465,0.896859,gradient_boosting,borderline_smote,mutual_information,20,0.92761967,8,84
0.801188786,0.720565785,0.828187395,0.801188786,0.791151558,,0.701035946,,,sgd,smote,variance,122,0.927326889,6,85
0.801277502,0.720350148,0.827893001,0.801277502,0.790979134,,0.701033791,,,sgd,smote_enn,variance,122,0.927208036,6,86
